Time [s];Velocity [km/h];Elevation [m];Throttle [%];Motor Torque [Nm];Longitudinal Acceleration [m/s^2];Regenerative Braking Signal ;Battery Voltage [V];Battery Current [A];Battery Temperature [°C];max. Battery Temperature [°C];SoC [%];displayed SoC [%];min. SoC [%];max. SoC [%);Heating Power CAN [kW];Requested Heating Power [W];AirCon Power [kW];Heater Signal;Ambient Temperature [°C];Requested Coolant Temperature [°C];Heat Exchanger Temperature [°C];Cabin Temperature Sensor [°C]
0;0;523;0;0;-0.01;0;387.2;-1;22;22;74.7;87;8;90;0;0;0;1;17.5;85;34;18.5
0.1;0;523;0;0;-0.01;0;387.2;-1;22;22;74.7;87;8;90;0;0;0;1;17.5;85;34;18.5
0.2;0;523;0;0;0;0;387.2;-1;22;22;74.7;87;8;90;0;0;0;1;17.5;85;34.04;18.5
0.3;0;523;0;0;0.01;0;387.2;-1;22;22;74.7;87;8;90;0;0;0;1;17.5;85;34.09;18.5
0.4;0;523;0;0;-0.01;0;387.2;-1;22;22;74.7;87;8;90;0;0;0;1;17.5;85;34.14;18.5
0.5;0;523;0;0;-0.02;0;387.2;-1;22;22;74.7;87;8;90;0;0;0;1;17.5;85;34.19;18.5
0.6;0;523;0;0;0.01;0;387.2;-1;22;22;74.7;87;8;90;0;0;0;1;17.5;85;34.24;18.5
0.7;0;523;0;0;-0.01;0;387.2;-1;22;22;74.7;87;8;90;0;0;0;1;17.5;85;34.29;18.5
0.8;0;523;0;0;-0.01;0;387.2;-1;22;22;74.7;87;8;90;0;0;0;1;17.5;85;34.34;18.5
0.9;0;523;0;0;-0.02;0;387.2;-1;22;22;74.7;87;8;90;0;0;0;1;17.5;85;34.39;18.5
1;0;523;0;0;0.01;0;387.2;-1;22;22;74.7;87;8;90;0;0;0;1;17.5;85;34.44;18.5
1.1;0;523;0;0;-0.02;0;387.2;-1.03;22;22;74.7;87;8;90;0;0;0;1;17.5;85;34.49;18.5
1.2;0;523;0;0;-0.01;0;387.2;-1.08;22;22;74.7;87;8;90;0;0;0;1;17.5;85;34.54;18.5
1.3;0;523;0;0;-0.02;0;387.2;-1.1;22;22;74.7;87;8;90;0;0;0;1;17.5;85;34.59;18.5
1.4;0;523;0;0;0.01;0;387.2;-1.1;22;22;74.7;87;8;90;0;0;0;1;17.5;85;34.64;18.5
1.5;0;523;0;0;-0.01;0;387.2;-1.1;22;22;74.7;87;8;90;0;0;0;1;17.5;85;34.69;18.5
1.6;0;523;0;0;-0.01;0;387.2;-1.1;22;22;74.7;87;8;90;0;0;0;1;17.5;85;34.74;18.5
1.7;0;523;0;0;-0.04;0;387.2;-1.07;22;22;74.7;87;8;90;0;0;0;1;17.5;85;34.79;18.5
1.8;0;523;0;0;-0.02;0;387.2;-1.02;22;22;74.7;87;8;90;0;0;0;1;17.5;85;34.84;18.5
1.9;0;523;0;0;0;0;387.2;-1.03;22;22;74.7;87;8;90;0;0;0;1;17.5;85;34.89;18.5
2;0;523;0;0;0.03;0;387.2;-1.08;22;22;74.7;87;8;90;0;0;0;1;17.5;85;34.94;18.5
2.1;0;523;0;0;-0.01;0;387.2;-1.1;22;22;74.7;87;8;90;0;0;0;1;17.5;85;34.99;18.5
2.2;0;523;0;0;-0.02;0;387.2;-1.1;22;22;74.7;87;8;90;0;0;0;1;17.5;85;35.04;18.5
