Time [s];Velocity [km/h];Elevation [m];Throttle [%];Motor Torque [Nm];Longitudinal Acceleration [m/s^2];Regenerative Braking Signal ;Battery Voltage [V];Battery Current [A];Battery Temperature [°C];max. Battery Temperature [°C];SoC [%];displayed SoC [%];min. SoC [%];max. SoC [%);Heating Power CAN [kW];Requested Heating Power [W];AirCon Power [kW];Heater Signal;Ambient Temperature [°C];Requested Coolant Temperature [°C];Heat Exchanger Temperature [°C];Cabin Temperature Sensor [°C];
0;0;571;0;0;0.17;0;391.6;-7.6;26;27;87;100;8;90;0;0;2.24;1;30;85;29;39.84;
0.1;0;571;0;0;0.18;0;391.6;-7.6;26;27;87;100;8;90;0;0;2.24;1;30;85;29;39.84;
0.2;0;571;0;0;0.19;0;391.6;-7.6;26;27;87;100;8;90;0;0;2.24;1;30;85;29;39.84;
0.3;0;571;0;0;0.17;0;391.6;-7.6;26;27;87;100;8;90;0;0;2.24;1;30;85;29;39.84;
0.4;0;571;0;0;0.17;0;391.6;-7.59;26;27;87;100;8;90;0;0;2.24;1;30;85;29;39.84;43650
0.5;0;571;0;0;0.21;0;391.6;-7.54;26;27;87;100;8;90;0;0;2.24;1;30;85;29;39.84;
0.6;0;571;0;0;0.2;0;391.6;-7.51;26;27;87;100;8;90;0;0;2.24;1;30;85;29;39.84;
0.7;0;571;0;0;0.17;0;391.6;-7.56;26;27;87;100;8;90;0;0;2.24;1;30;85;28.95;39.84;
0.8;0;571;0;0;0.18;0;391.6;-7.6;26;27;87;100;8;90;0;0;2.24;1;30;85;28.9;39.84;
0.9;0;571;0;0;0.15;0;391.6;-7.6;26;27;87;100;8;90;0;0;2.24;1;30;85;28.85;39.84;
1;0;571;0;0;0.14;0;391.6;-7.6;26;27;87;100;8;90;0;0;2.24;1;30;85;28.8;39.84;
1.1;0;571;0;0;0.19;0;391.6;-7.6;26;27;87;100;8;90;0;0;2.24;1;30;85;28.75;39.84;
1.2;0;571;0;0;0.22;0;391.6;-7.59;26;27;87;100;8;90;0;0;2.24;1;30;85;28.7;39.84;
1.3;0;571;0;0;0.17;0;391.6;-7.54;26;27;87;100;8;90;0;0;2.24;1;30;85;28.65;39.84;
1.4;0;571;0;0;0.16;0;391.6;-7.49;26;27;87;100;8;90;0;0;2.24;1;30;85;28.6;39.84;
1.5;0;571;0;0;0.19;0;391.6;-7.44;26;27;87;100;8;90;0;0;2.24;1;30;85;28.55;39.84;
1.6;0;571;0;0;0.18;0;391.6;-7.41;26;27;87;100;8;90;0;0;2.2;1;30;85;28.5;39.84;
1.7;0;571;0;0;0.17;0;391.6;-7.46;26;27;87;100;8;90;0;0;2.19;1;30;85;28.5;39.84;
1.8;0;571;0;0;0.18;0;391.6;-7.49;26;27;87;100;8;90;0;0;2.19;1;30;85;28.5;39.84;
1.9;0;571;0;0;0.18;0;391.6;-7.44;26;27;87;100;8;90;0;0;2.18;1;30;85;28.5;39.84;
2;0;571;0;0;0.18;0;391.6;-7.4;26;27;87;100;8;90;0;0;2.18;1;30;85;28.5;39.84;
2.1;0;571;0;0;0.2;0;391.6;-7.4;26;27;87;100;8;90;0;0;2.17;1;30;85;28.5;39.84;
2.2;0;571;0;0;0.21;0;391.6;-7.39;26;27;87;100;8;90;0;0;2.17;1;30;85;28.5;39.84;
2.3;0;571;0;0;0.2;0;391.6;-7.34;26;27;87;100;8;90;0;0;2.16;1;30;85;28.5;39.84;
2.4;0;571;0;0;0.19;0;391.6;-7.31;26;27;87;100;8;90;0;0;2.16;1;30;85;28.5;39.84;
2.5;0;571;0;0;0.17;0;391.6;-7.36;26;27;87;100;8;90;0;0;2.16;1;30;85;28.5;39.84;
2.6;0;571;0;0;0.17;0;391.6;-7.4;26;27;87;100;8;90;0;0;2.16;1;30;85;28.5;39.84;
2.7;0;571;0;0;0.2;0;391.6;-7.4;26;27;87;100;8;90;0;0;2.16;1;30;85;28.45;39.84;
2.8;0;571;0;0;0.19;0;391.6;-7.4;26;27;87;100;8;90;0;0;2.16;1;30;85;28.4;39.84;
2.9;0;571;0;0;0.15;0;391.6;-7.4;26;27;87;100;8;90;0;0;2.16;1;30;85;28.35;39.84;
3;0;571;0;0;0.18;0;391.6;-7.4;26;27;87;100;8;90;0;0;2.16;1;30;85;28.3;39.84;
3.1;0;571;0;0;0.21;0;391.6;-7.4;26;27;87;100;8;90;0;0;2.16;1;30;85;28.25;39.84;
3.2;0;571;0;0;0.2;0;391.6;-7.4;26;27;87;100;8;90;0;0;2.12;1;30;85;28.2;39.84;
3.3;0;571;0;0;0.17;0;391.6;-7.4;26;27;87;100;8;90;0;0;2.12;1;30;85;28.15;39.84;
3.4;0;571;0;0;0.18;0;391.6;-7.39;26;27;87;100;8;90;0;0;2.12;1;30;85;28.1;39.84;
3.5;0;571;0;0;0.2;0;391.6;-7.34;26;27;87;100;8;90;0;0;2.12;1;30;85;28.05;39.84;
3.6;0;571;0;0;0.17;0;391.6;-7.3;26;27;87;100;8;90;0;0;2.12;1;30;85;28;39.84;
3.7;0;571;0;0;0.17;0;391.6;-7.3;26;27;87;100;8;90;0;0;2.12;1;30;85;27.95;39.84;
3.8;0;571;0;0;0.17;0;391.6;-7.31;26;27;87;100;8;90;0;0;2.12;1;30;85;27.9;39.84;
3.9;0;571;0;0;0.17;0;391.6;-7.36;26;27;87;100;8;90;0;0;2.12;1;30;85;27.85;39.84;
4;0;571;0;0;0.15;0;391.59;-7.39;26;27;87;100;8;90;0;0;2.12;1;30;85;27.8;39.84;
4.1;0;571;0;0;0.15;0;391.54;-7.34;26;27;87;100;8;90;0;0;2.12;1;30;85;27.75;39.84;
4.2;0;571;0;0;0.23;0;391.51;-7.3;26;27;87;100;8;90;0;0;2.12;1;30;85;27.7;39.84;
4.3;0;571;0;0;0.22;0;391.56;-7.3;26;27;87;100;8;90;0;0;2.12;1;30;85;27.65;39.84;
4.4;0;571;0;0;0.15;0;391.6;-7.3;26;27;87;100;8;90;0;0;2.12;1;30;85;27.6;39.84;
4.5;0;571;0;0;0.19;0;391.6;-7.3;26;27;87;100;8;90;0;0;2.12;1;30;85;27.55;39.84;
4.6;0;571;0;0;0.19;0;391.59;-7.3;26;27;87;100;8;90;0;0;2.12;1;30;85;27.5;39.84;
4.7;0;571;0;0;0.14;0;391.54;-7.3;26;27;87;100;8;90;0;0;2.12;1;30;85;27.45;39.84;
4.8;0;571;0;0;0.19;0;391.51;-7.29;26;27;87;100;8;90;0;0;2.12;1;30;85;27.4;39.84;
4.9;0;571;0;0;0.16;0;391.56;-7.24;26;27;87;100;8;90;0;0;2.12;1;30;85;27.35;39.84;
5;0;571;0;0;0.14;0;391.59;-7.23;26;27;87;100;8;90;0;0;2.12;1;30;85;27.3;39.84;
5.1;0;571;0;0;0.24;0;391.54;-7.53;26;27;87;100;8;90;0;0;2.11;1;30;85;27.25;39.84;
5.2;0;571;0;0;0.14;0;391.5;-7.79;26;27;87;100;8;90;0;0;2.11;1;30;85;27.2;39.84;
5.3;0;571;0;0;0.1;0;391.5;-7.74;26;27;87;100;8;90;0;0;2.11;1;30;85;27.15;39.84;
5.4;0;571;0;0;0.25;0;391.5;-7.7;26;27;87;100;8;90;0;0;2.11;1;30;85;27.1;39.84;
5.5;0;571;0;0;0.17;0;391.5;-7.7;26;27;87;100;8;90;0;0;2.11;1;30;85;27.05;39.84;
5.6;0;571;0;0;0.12;0;391.5;-7.7;26;27;87;100;8;90;0;0;2.11;1;30;85;27;39.84;
5.7;0;571;0;0;0.23;0;391.5;-7.7;26;27;87;100;8;90;0;0;2.1;1;30;85;26.95;39.84;
5.8;0;571;0;0;0.21;0;391.5;-7.7;26;27;87;100;8;90;0;0;2.1;1;30;85;26.9;39.84;
5.9;0;571;0;0;0.17;0;391.5;-7.7;26;27;87;100;8;90;0;0;2.1;1;30;85;26.85;39.84;
6;0;571;0;0;0.21;0;391.5;-7.7;26;27;87;100;8;90;0;0;2.1;1;30;85;26.8;39.84;
6.1;0;571;0;0;0.18;0;391.5;-7.7;26;27;87;100;8;90;0;0;2.1;1;30;85;26.75;39.84;
