Time [s];Velocity [km/h];Elevation [m];Throttle [%];Motor Torque [Nm];Longitudinal Acceleration [m/s^2];Regenerative Braking Signal ;Battery Voltage [V];Battery Current [A];Battery Temperature [°C];max. Battery Temperature [°C];SoC [%];displayed SoC [%];min. SoC [%];max. SoC [%);Heating Power CAN [kW];Requested Heating Power [W];AirCon Power [kW];Heater Signal;Ambient Temperature [°C];Heat Exchanger Temperature [°C];Cabin Temperature Sensor [°C]
0;0.64;551;0;0;-0.11;0;385.1;-4.7;18;19;71.3;79;8;89.5;0;0;1.04;0;22.5;13.5;39.84
0.1;0.69;551;0;-3.01;-0.11;0;385.1;-4.7;18;19;71.3;79;8;89.5;0;0;1.04;0;22.5;13.5;39.84
0.2;0.8;551;0;-2.99;-0.13;0;385.1;-4.66;18;19;71.3;79;8;89.5;0;0;1.04;0;22.5;13.5;39.84
0.3;0.9;551;0;-3.01;-0.15;0;385.1;-4.61;18;19;71.3;79;8;89.5;0;0;1.04;0;22.5;13.5;39.84
0.4;0.92;551;0;-4.51;-0.12;0;385.1;-4.64;18;19;71.3;79;8;89.5;0;0;1.03;0;22.5;13.5;39.84
0.5;1.07;551;0;-5.5;-0.03;0;385.1;-4.69;18;19;71.3;79;8;89.5;0;0;1.03;0;22.5;13.5;39.84
0.6;1.12;551;0;-6.99;0.02;0;385.1;-4.7;18;19;71.3;79;8;89.5;0;0;1.02;0;22.5;13.5;39.84
0.7;1.16;551;0;-7.99;0.03;0;385.1;-4.7;18;19;71.3;79;8;89.5;0;0;1.02;0;22.5;13.47;39.84
0.8;1.17;551;0;-8.51;0.11;0;385.1;-4.7;18;19;71.3;79;8;89.5;0;0;1.01;0;22.5;13.42;39.84
0.9;1.16;551;0;-9.01;0.24;0;385.1;-4.7;18;19;71.3;79;8;89.5;0;0;1.01;0;22.5;13.37;39.84
1;1.03;551;0;-10.01;0.28;0;385.1;-4.74;18;19;71.3;79;8;89.5;0;0;1;0;22.5;13.32;39.84
1.1;1;551;0;-11.99;0.37;0;385.1;-4.79;18;19;71.3;79;8;89.5;0;0;1;0;22.5;13.27;39.84
1.2;0.87;551;0;-12.01;0.31;0;385.1;-4.8;18;19;71.3;79;8;89.5;0;0;1;0;22.5;13.22;39.84
1.3;0.79;551;0;-10.01;0.21;0;385.1;-4.8;18;19;71.3;79;8;89.5;0;0;1;0;22.5;13.17;39.84
1.4;0.75;551;0.21;-8.5;0.14;0;385.1;-4.76;18;19;71.3;79;8;89.5;0;0;1;0;22.5;13.12;39.84
1.5;0.63;551;10.45;-5.98;0.08;0;385.1;-4.71;18;19;71.3;79;8;89.5;0;0;1;0;22.5;13.07;39.84
1.6;0.57;551;16.35;0;-0.01;0;385.1;-4.74;18;19;71.3;79;8;89.5;0;0;1;0;22.5;13.02;39.84
1.7;0.52;551;16.52;1.53;-0.08;0;385.1;-4.79;18;19;71.3;79;8;89.5;0;0;1;0;22.5;13;39.84
1.8;0.5;551;12.49;8.03;-0.09;0;385.1;-4.98;18;19;71.3;79;8;89.5;0;0;1;0;22.5;13;39.84
1.9;0.53;551;5.05;11.52;-0.11;0;385.1;-5.18;18;19;71.3;79;8;89.5;0;0;1;0;22.5;13;39.84
2;0.58;551;3.95;14;-0.04;0;385.06;-5.16;18;19;71.3;79;8;89.5;0;0;1;0;22.5;13;39.84
