Time [s];Velocity [km/h];Elevation [m];Throttle [%];Motor Torque [Nm];Longitudinal Acceleration [m/s^2];Regenerative Braking Signal ;Battery Voltage [V];Battery Current [A];Battery Temperature [°C];max. Battery Temperature [°C];SoC [%];displayed SoC [%];min. SoC [%];max. SoC [%);Heating Power CAN [kW];Heating Power LIN [W];Requested Heating Power [W];AirCon Power [kW];Heater Signal;Heater Voltage [V];Heater Current [A];Ambient Temperature [°C];Coolant Temperature Heatercore [°C];Requested Coolant Temperature [°C];Coolant Temperature Inlet [°C];Heat Exchanger Temperature [°C];Cabin Temperature Sensor [°C]
0;0;585;3.03;0;-0.07;0;392;-1.4;21;21;86.5;100;8;89.5;0;0;0;0;1;395;0;23.5;22;85;22;21;22.5
0.1;0;585;8.63;0;-0.07;0;392;-1.4;21;21;86.5;100;8;89.5;0;0;0;0;1;395;0;23.5;22;85;22;21;22.5
0.2;0;585;11.34;1.72;-0.06;0;392;-1.43;21;21;86.5;100;8;89.5;0;0;0;0;1;395;0;23.5;22;85;22;21;22.5
0.3;0;585;13.29;8.09;0.1;0;391.95;-1.83;21;21;86.5;100;8;89.5;0;0;0;0;1;395;0;23.5;22;85;22;21;22.5
0.4;0;585;15.99;14.78;0.09;0;391.9;-2.24;21;21;86.5;100;8;89.5;0;0;0;0;1;395;0;23.5;22;85;22;21;22.5
0.5;0;585;17.65;17.72;0.19;0;391.85;-2.74;21;21;86.5;100;8;89.5;0;0;0;0;1;395;0;23.5;22;85;22;21;22.5
0.6;0.03;585;17.65;25.38;0.31;0;391.8;-3.23;21;21;86.5;100;8;89.5;0;0;0;0;1;395;0;23.5;22;85;22;21;22.5
0.7;0.26;585;18.11;32.22;0.36;0;391.75;-3.63;21;21;86.5;100;8;89.5;0;0;0;0;1;394.71;0;23.5;22;85;22;21;22.5
0.8;0.73;585;19.26;35;0.36;0;391.7;-4.02;21;21;86.5;100;8;89.5;0;0;0;0;1;394.21;0;23.5;22;85;22;21;22.5
0.9;0.81;585;20.83;39.72;0.37;0;391.7;-4.22;21;21;86.5;100;8;89.5;0;0;0;0;1;394;0;23.5;22;85;22;21;22.5
1;1.07;585;22.82;42.87;0.43;0;391.7;-4.44;21;21;86.5;100;8;89.5;0;0;0;0;1;394;0;23.5;22;85;22;21;22.5
1.1;1.24;585;24.47;47.94;0.5;0;391.65;-4.89;21;21;86.5;100;8;89.5;0;0;0;0;1;394;0;23.5;22;85;22;21;22.5
