Time [s];Velocity [km/h];Elevation [m];Throttle [%];Motor Torque [Nm];Longitudinal Acceleration [m/s^2];Regenerative Braking Signal ;Battery Voltage [V];Battery Current [A];Battery Temperature [°C];max. Battery Temperature [°C];SoC [%];displayed SoC [%];min. SoC [%];max. SoC [%);Heating Power CAN [kW];Heating Power LIN [W];Requested Heating Power [W];AirCon Power [kW];Heater Signal;Heater Voltage [V];Heater Current [A];Ambient Temperature [°C];Ambient Temperature Sensor [°C];Coolant Temperature Heatercore [°C];Requested Coolant Temperature [°C];Coolant Temperature Inlet [°C];Coolant Volume Flow +500 [l/h];Heat Exchanger Temperature [°C];Cabin Temperature Sensor [°C];Temperature Coolant Heater Inlet [°C];Temperature Coolant Heater Outlet [°C];Temperature Heat Exchanger Outlet [°C];Temperature Defrost lateral left [°C];Temperature Defrost lateral right [°C];Temperature Defrost central [°C];Temperature Defrost central left [°C];Temperature Defrost central right [°C];Temperature Footweel Driver [°C];Temperature Footweel Co-Driver [°C];Temperature Feetvent Co-Driver [°C];Temperature Feetvent Driver [°C];Temperature Head Co-Driver [°C];Temperature Head Driver [°C];Temperature Vent right [°C] ;Temperature Vent central right [°C];Temperature Vent central left [°C];Temperature Vent right [°C]
0;0;483;0;0;-0.03;0;369.7;-3;10;11;45.4;48.5;8;88.5;0;460;600;0;1;373;1.25;5.5;5.72;42;85;42;-499.89;28;22.34;36.18;41.25;40.2;22.74;23.62;24.75;27.19;26.76;15.67;16.37;32.87;32.17;15.5;15.15;23.53;21.08;18.55;23.27
0.1;0;483;0;0;-0.02;0;369.7;-3;10;11;45.4;48.5;8;88.5;0;460;655.45;0;1;373;1.25;5.5;5.72;42;85;42;-499.89;28;22.34;36.18;41.25;40.2;22.74;23.62;24.75;27.19;26.76;15.67;16.37;32.87;32.17;15.5;15.15;23.53;21.08;18.55;23.27
0.2;0;483;0;0;-0.01;0;369.7;-3.08;10;11;45.4;48.5;8;88.5;0;507.59;755.44;0;1;372.74;1.38;5.5;5.72;42;85;42;-499.89;28;22.34;36.18;41.25;40.2;22.74;23.62;24.75;27.19;26.76;15.67;16.37;32.87;32.17;15.5;15.15;23.53;21.08;18.55;23.27
0.3;0;483;0;0;0.02;0;369.7;-3.43;10;11;45.4;48.5;8;88.5;0;597.56;855.44;0;1;372.24;1.63;5.5;5.72;42;85;42;-499.89;28;22.34;36.18;41.25;40.2;22.74;23.62;24.75;27.19;26.76;15.67;16.37;32.87;32.17;15.5;15.15;23.53;21.08;18.55;23.27
0.4;0;483;0;0;-0.02;0;369.69;-3.74;10;11;45.4;48.5;8;88.5;0;698.13;955.43;0;1;372;1.88;5.5;5.71;42;85;42;-499.89;28;22.34;36.18;41.25;40.2;22.67;23.6;24.74;27.13;26.74;15.62;16.38;32.88;32.24;15.39;15.04;23.51;21.07;18.54;23.19
0.5;0;483;0;0;-0.05;0;369.64;-3.89;10;11;45.4;48.5;8;88.5;0;808.17;1066.51;0;1;372;2.13;5.5;5.69;42;85;42;-499.89;28;22.34;36.18;41.25;40.2;22.6;23.53;24.65;27.06;26.67;15.57;16.42;32.93;32.31;15.27;14.92;23.42;20.99;18.48;23.11
0.6;0;483;0;0;0;0;369.6;-4.09;10;11;45.4;48.5;8;88.5;0;907.6;1186.5;0;1;372;2.38;5.5;5.67;42;85;42;-499.89;28;22.34;36.39;41.2;40.19;22.53;23.46;24.56;26.99;26.59;15.52;16.47;32.98;32.38;15.16;14.81;23.32;20.91;18.42;23.03
0.7;0;483;0;0;-0.02;0;369.6;-4.49;10;11;45.4;48.5;8;88.5;0.64;997.59;1295.41;0;1;372;2.63;5.5;5.65;42;85;42;-499.89;28.02;22.34;36.6;41.14;40.18;22.46;23.39;24.47;26.92;26.51;15.46;16.51;33.03;32.45;15.05;14.7;23.22;20.84;18.36;22.95
0.8;0;483;0;0;-0.03;0;369.58;-4.84;10;11;45.4;48.5;8;88.5;0.64;1108.72;1395.4;0;1;372;2.95;5.5;5.64;42;85;42;-499.9;28.07;22.34;36.81;41.09;40.17;22.4;23.32;24.39;26.85;26.43;15.41;16.55;33.09;32.52;14.93;14.58;23.13;20.76;18.3;22.88
0.9;0;483;0;0;-0.03;0;369.48;-4.99;10;11;45.4;48.5;8;88.5;0.64;1238.7;1495.4;0;1;372;3.32;5.5;5.62;42;85;42;-499.92;28.12;22.34;37.02;41.04;40.16;22.33;23.25;24.3;26.78;26.35;15.36;16.6;33.14;32.59;14.82;14.47;23.03;20.68;18.24;22.8
