Time [s];Velocity [km/h]]];Elevation [m];Throttle [%];Motor Torque [Nm];Longitudinal Acceleration [m/s^2];Regenerative Braking Signal ;Battery Voltage [V];Battery Current [A];Battery Temperature [°C];max. Battery Temperature [°C];SoC [%];displayed SoC [%];min. SoC [%];max. SoC [%);Heating Power CAN [kW];Heating Power LIN [W];Requested Heating Power [W];AirCon Power [kW];Heater Signal;Heater Voltage [V];Heater Current [A];Ambient Temperature [°C];Ambient Temperature Sensor [°C];Coolant Temperature Heatercore [°C];Requested Coolant Temperature [°C];Coolant Temperature Inlet [°C];Coolant Volume Flow +500 [l/h];Heat Exchanger Temperature [°C];Cabin Temperature Sensor [°C];Temperature Coolant Heater Inlet [°C];Temperature Coolant Heater Outlet [°C];Temperature Heat Exchanger Outlet [°C];Temperature Defrost lateral left [°C];Temperature Defrost lateral right [°C];Temperature Defrost central [°C];Temperature Defrost central left [°C];Temperature Defrost central right [°C];Temperature Footweel Driver [°C];Temperature Footweel Co-Driver [°C];Temperature Feetvent Co-Driver [°C];Temperature Feetvent Driver [°C];Temperature Head Co-Driver [°C];Temperature Head Driver [°C];Temperature Vent right [°C] ;Temperature Vent central right [°C];Temperature Vent central left [°C];Temperature Vent right [°C]
0;0;475;0;1.5;0.1;0;371.8;-15.8;-1;-1;65;76;8;88;5.08;4960;4960;0;1;373;13.25;-1.5;-1;58;85;55;-0.31;5;10;54.86;63.24;56.43;26.93;27.11;38.63;35.66;11.13;-1.7;-1.96;1.27;5.2;7.56;9.39;6.07;9.04;7.73;8.17
0.1;0;475;0;1.5;0.09;0;371.78;-15.89;-1;-1;65;76;8;88;5.08;4960;4960;0;1;373;13.25;-1.5;-1;58;85;55;-0.31;5;10;54.86;63.24;56.43;26.93;27.11;38.63;35.66;11.13;-1.7;-1.96;1.27;5.2;7.56;9.39;6.07;9.04;7.73;8.17
0.2;0;475;0;1.5;0.07;0;371.73;-16.19;-1;-1;65;76;8;88;5.08;4960;4960;0;1;373;13.25;-1.5;-1;58;85;55;-0.31;5;10;54.86;63.24;56.43;26.93;27.11;38.63;35.66;11.13;-1.7;-1.96;1.27;5.2;7.56;9.39;6.07;9.04;7.73;8.17
0.3;0;475;0;1.5;0.05;0;371.7;-16.27;-1;-1;65;76;8;88;5.08;4960;4958.4;0;1;373;13.25;-1.5;-1;58;85;55;-0.31;5;10;54.86;63.24;56.43;26.93;27.11;38.63;35.66;11.13;-1.7;-1.96;1.27;5.2;7.56;9.39;6.07;9.04;7.73;8.17
0.4;0;475;0;1.5;0.06;0;371.7;-15.87;-1;-1;65;76;8;88;4.92;4959.46;4938.4;0;1;373;13.25;-1.5;-1;58;85;55;-0.31;5;10;54.86;63.24;56.43;26.93;27.11;38.63;35.66;11.13;-1.7;-1.96;1.27;5.2;7.56;9.39;6.07;9.04;7.73;8.17
0.5;0;475;0;1.5;0.06;0;371.72;-15.66;-1;-1;65;76;8;88;4.92;4949.46;4920;0;1;373;13.25;-1.5;-1;58;85;55;-0.31;5;10;54.86;63.24;56.43;26.93;27.11;38.63;35.66;11.13;-1.7;-1.96;1.27;5.2;7.56;9.39;6.07;9.04;7.73;8.17
0.6;0;475;0;1.5;0.04;0;371.77;-15.86;-1;-1;65;76;8;88;4.91;4939.46;4920;0;1;373;13.25;-1.5;-1;58;85;55;-0.31;5;10;54.86;63.24;56.43;26.93;27.11;38.63;35.66;11.13;-1.7;-1.96;1.27;5.2;7.56;9.39;6.07;9.04;7.73;8.17
0.7;0;475;0;1.5;0.05;0;371.78;-15.92;-1;-1;65;76;8;88;4.91;4929.46;4920;0;1;373;13.25;-1.5;-1;58;85;55;-0.31;5;10;54.86;63.24;56.43;26.93;27.11;38.63;35.66;11.13;-1.7;-1.96;1.27;5.2;7.56;9.39;6.07;9.04;7.73;8.17
0.8;0;475;0;1.5;0.08;0;371.73;-15.67;-1;-1;65;76;8;88;4.91;4920;4920;0;1;373;13.25;-1.5;-1;58;85;55;-0.31;5;10;54.86;63.24;56.43;26.94;27.11;38.63;35.67;11.13;-1.7;-1.96;1.27;5.21;7.56;9.4;6.07;9.04;7.73;8.17
0.9;0;475;1.84;1.5;0.07;0;371.72;-15.58;-1;-1;65;76;8;88;4.91;4920;4920;0;1;373;13.25;-1.5;-1.01;58;85;55;-0.31;5;10;54.86;63.24;56.43;26.97;27.11;38.65;35.7;11.16;-1.7;-1.95;1.28;5.22;7.56;9.41;6.07;9.04;7.74;8.17
